"Title","ID","Created Date","Updated Date","Owner","course_code","description","school","Subject","bullet_points","Concordia_courses (List)","Online Tutor","In-Person Tutor"
"General Biology I","CEGEP101-NYA",2024-09-12T04:30:15Z,2024-09-16T02:40:15Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","101-NYA","This course introduces students to the foundational principles of biology, with a focus on the diversity and organization of life, and their ecological interactions.","HEALTH/PURE CEGEP","BIOLOGY","<ol class=""font_8"">
  <li><p class=""font_8"">Characteristics of Life</p></li>
  <li><p class=""font_8"">Cell Structure and Function</p></li>
  <li><p class=""font_8"">Cellular Respiration</p></li>
  <li><p class=""font_8"">Photosynthesis</p></li>
  <li><p class=""font_8"">Cell Division: Mitosis and Meiosis</p></li>
  <li><p class=""font_8"">Genetics and Inheritance</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","Maria Moshopoulos"
"Calculus 1","CEGEP201-NYA",2024-09-12T04:30:14Z,2024-09-16T02:48:42Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-NYA","This course introduces fundamental concepts of differential calculus, essential for students in science and engineering programs.","HEALTH/PURE CEGEP","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Functions and Graphs</p></li>
  <li><p class=""font_8"">Limits and Continuity</p></li>
  <li><p class=""font_8"">Derivatives</p></li>
  <li><p class=""font_8"">Rules of Differentiation</p></li>
  <li><p class=""font_8"">Applications of Derivatives</p></li>
  <li><p class=""font_8"">Implicit Differentiation</p></li>
  <li><p class=""font_8"">Related Rates</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Calculus 2","CEGEP201-NYB",2024-09-12T04:30:14Z,2024-09-16T02:46:29Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-NYB","A continuation of Calculus 1, this course covers integral calculus and its applications.","HEALTH/PURE CEGEP","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Antiderivatives and Indefinite Integrals</p></li>
  <li><p class=""font_8"">The Definite Integral</p></li>
  <li><p class=""font_8"">Techniques of Integration</p></li>
  <li><p class=""font_8"">Applications of the Integral</p></li>
  <li><p class=""font_8"">Area Between Curves</p></li>
  <li><p class=""font_8"">Volumes of Solids of Revolution</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Linear Algebra","CEGEP201-NYC",2024-09-12T04:30:15Z,2024-09-16T02:38:44Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-NYC","This course covers the basic concepts of linear algebra, which are essential for understanding vector spaces and linear transformations.","HEALTH/PURE CEGEP","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Systems of Linear Equations</p></li>
  <li><p class=""font_8"">Matrix Operations</p></li>
  <li><p class=""font_8"">Determinants</p></li>
  <li><p class=""font_8"">Vector Spaces</p></li>
  <li><p class=""font_8"">Linear Independence and Dependence</p></li>
  <li><p class=""font_8"">Basis and Dimension</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Ryan Hui","N/A"
"General Chemistry","CEGEP202-NYA",2024-09-12T04:30:14Z,2024-09-16T02:49:10Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","202-NYA","This course introduces fundamental concepts in chemistry, focusing on chemical reactions and the properties of matter.","HEALTH/PURE CEGEP","CHEMISTRY","<ol class=""font_8"">
  <li><p class=""font_8"">Atomic Structure</p></li>
  <li><p class=""font_8"">Periodic Table</p></li>
  <li><p class=""font_8"">Chemical Bonding</p></li>
  <li><p class=""font_8"">Molecular Geometry</p></li>
  <li><p class=""font_8"">Stoichiometry</p></li>
  <li><p class=""font_8"">Chemical Reactions</p></li>
  <li><p class=""font_8"">Thermochemistry</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Tynan Peterson","Ossama Elbannaoui"
"Chemistry of Solutions","CEGEP202-NYB",2024-09-12T04:30:14Z,2024-09-16T02:48:10Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","202-NYB","This course continues from General Chemistry, focusing on the properties and behaviors of solutions.","HEALTH/PURE CEGEP","CHEMISTRY","<ol class=""font_8"">
  <li><p class=""font_8"">Types of Solutions</p></li>
  <li><p class=""font_8"">Concentration Units</p></li>
  <li><p class=""font_8"">Colligative Properties</p></li>
  <li><p class=""font_8"">Chemical Equilibrium</p></li>
  <li><p class=""font_8"">Le Chatelier's Principle</p></li>
  <li><p class=""font_8"">Acid-Base Equilibria</p></li>
  <li><p class=""font_8"">Solubility Equilibria</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Tynan Peterson","N/A"
"Mechanics","CEGEP203-NYA",2024-09-12T04:30:14Z,2024-09-16T02:44:35Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","203-NYA","This course covers the basic principles of mechanics, essential for understanding the motion and forces of objects.","HEALTH/PURE CEGEP","PHYSICS","<ol class=""font_8"">
  <li><p class=""font_8"">Kinematics</p></li>
  <li><p class=""font_8"">Newton's Laws of Motion</p></li>
  <li><p class=""font_8"">Work and Energy</p></li>
  <li><p class=""font_8"">Conservation of Energy</p></li>
  <li><p class=""font_8"">Momentum</p></li>
  <li><p class=""font_8"">Rotational Motion</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Erik Hristev","Zachary Flynn"
"Electricity and Magnetism","CEGEP203-NYB",2024-09-12T04:30:14Z,2024-09-16T02:46:48Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","203-NYB","This course explores the fundamental principles of electricity and magnetism, critical for understanding electromagnetic phenomena.","HEALTH/PURE CEGEP","PHYSICS","<ol class=""font_8"">
  <li><p class=""font_8"">Electric Fields</p></li>
  <li><p class=""font_8"">Electric Potential</p></li>
  <li><p class=""font_8"">Capacitance</p></li>
  <li><p class=""font_8"">Electric Circuits</p></li>
  <li><p class=""font_8"">Magnetic Fields</p></li>
  <li><p class=""font_8"">Electromagnetic Induction</p></li>
  <li><p class=""font_8"">AC Circuits</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Erik Hristev","Zachary Flynn"
"Waves, Optics, and Modern Physics","CEGEP203-NYC",2024-09-12T04:30:14Z,2024-09-16T02:48:38Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","203-NYC","This course covers wave phenomena, optics, and introduces modern physics concepts.","HEALTH/PURE CEGEP","PHYSICS","<ol class=""font_8"">
  <li><p class=""font_8"">Wave Properties</p></li>
  <li><p class=""font_8"">Sound Waves</p></li>
  <li><p class=""font_8"">Light Waves</p></li>
  <li><p class=""font_8"">Reflection and Refraction</p></li>
  <li><p class=""font_8"">Lenses and Mirrors</p></li>
  <li><p class=""font_8"">Interference and Diffraction</p></li>
  <li><p class=""font_8"">Polarization</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Erik Hristev","Zachary Flynn"
"General Biology II","DAWSON101-BZE05-",2024-09-12T04:30:15Z,2024-09-16T02:36:38Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","101-BZE-05","This course is crucial for understanding biological systems at the cellular and molecular levels, preparing students for further studies in life sciences​.","DAWSON","BIOLOGY","<ol class=""font_8"">
  <li><p class=""font_8"">Cell Chemistry</p></li>
  <li><p class=""font_8"">Cell Structure and Function</p></li>
  <li><p class=""font_8"">Major Metabolic Processes</p></li>
  <li><p class=""font_8"">Introductory Molecular Genetics</p></li>
  <li><p class=""font_8"">Nervous and Hormonal Regulation Mechanisms</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","N/A","Maria Moshopoulos"
